party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Centro Democratico,Piemonte,2016,2015,1290,0
Federazione dei Verdi,Piemonte,2016,2015,1245,0
Fratelli d'Italia Alleanza Nazionale,Piemonte,2016,2015,3116,0
Italia Dei Valori,Piemonte,2016,2015,620,0
Lega Nord per l'indipendenza della Padania,Piemonte,2016,2015,12405,0
Movimento Associativo Italiani all'Estero,Piemonte,2016,2015,361,0
Movimento La Puglia in piu',Piemonte,2016,2015,281,0
Movimento Politico Forza Italia,Piemonte,2016,2015,2828,0
Nuovo Centrodestra,Piemonte,2016,2015,770,0
Partito Autonomista Trentino Titolese,Piemonte,2016,2015,126,0
Partito della Rifondazione Comunista - Sinistra Europea,Piemonte,2016,2015,5509,0
Partito Democratico,Piemonte,2016,2015,43108,0
Partito Liberale Italiano,Piemonte,2016,2015,319,0
Partito Socialista Italiano,Piemonte,2016,2015,535,0
Popolari per l'Italia,Piemonte,2016,2015,99,0
Scelta Civica,Piemonte,2016,2015,829,0
Sinistra Ecologia Liberta',Piemonte,2016,2015,7303,0
Sudtiroler Volkspartei,Piemonte,2016,2015,323,0
Union Valdotaine,Piemonte,2016,2015,591,0
Unione di Centro,Piemonte,2016,2015,109,0
Unione per il Trentino,Piemonte,2016,2015,301,0
Centro Democratico,Valle d'Aosta,2016,2015,30,0
Federazione dei Verdi,Valle d'Aosta,2016,2015,38,0
Fratelli d'Italia Alleanza Nazionale,Valle d'Aosta,2016,2015,61,0
Italia Dei Valori,Valle d'Aosta,2016,2015,10,0
Lega Nord per l'indipendenza della Padania,Valle d'Aosta,2016,2015,336,0
Movimento Associativo Italiani all'Estero,Valle d'Aosta,2016,2015,13,0
Movimento La Puglia in piu',Valle d'Aosta,2016,2015,,1
Movimento Politico Forza Italia,Valle d'Aosta,2016,2015,37,0
Nuovo Centrodestra,Valle d'Aosta,2016,2015,21,0
Partito Autonomista Trentino Titolese,Valle d'Aosta,2016,2015,,1
Partito della Rifondazione Comunista - Sinistra Europea,Valle d'Aosta,2016,2015,114,0
Partito Democratico,Valle d'Aosta,2016,2015,854,0
Partito Liberale Italiano,Valle d'Aosta,2016,2015,,1
