official_name,declaration_year,tax_year,code
Centro Democratico,2020,2019,A10
Federazione dei Verdi,2020,2019,B30
Fratelli d’Italia – Alleanza Nazionale,2020,2019,C12
Italia dei Valori,2020,2019,C31
Lega Nord per l’Indipendenza della Padania,2020,2019,D13
Movimento Associativo Italiani all’Estero,2020,2019,E14
Movimento La Puglia in Più,2020,2019,E32
Movimento Politico Forza Italia,2020,2019,F15
Nuovo Centrodestra,2020,2019,H17
Partito Autonomista Trentino Tirolese,2020,2019,K18
Partito della Rifondazione Comunista – Sinistra Europea,2020,2019,L19
Partito Democratico,2020,2019,M20
Partito Liberale Italiano,2020,2019,N21
Partito Socialista Italiano,2020,2019,R22
Popolari per l’Italia,2020,2019,S23
Scelta Civica,2020,2019,T24
Sinistra Ecologia Libertà,2020,2019,U25
Südtiroler Volkspartei,2020,2019,W26
Union Valdôtaine,2020,2019,Y27
Unione di Centro,2020,2019,Y29
Unione per il Trentino,2020,2019,Z28
