party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Articolo 1 - Movimento Democratico e Progressista,Piemonte,2023,2022,3732,0
Azione,Piemonte,2023,2022,3523,0
Centro Democratico,Piemonte,2023,2022,755,0
Coraggio Italia,Piemonte,2023,2022,183,0
Democrazia Solidale - DemoS,Piemonte,2023,2022,291,0
Europa Verde-Verdi,Piemonte,2023,2022,6833,0
Fratelli d'Italia - Alleanza Nazionale,Piemonte,2023,2022,27424,0
Italia al Centro,Piemonte,2023,2022,94,0
Italia dei Valori,Piemonte,2023,2022,314,0
Italia Viva,Piemonte,2023,2022,4485,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2023,2022,2369,0
Lega per Salvini Premier,Piemonte,2023,2022,8737,0
Movimento Associativo Italiani all'Estero - MAIE,Piemonte,2023,2022,514,0
Movimento Cinque Stelle,Piemonte,2023,2022,14223,0
Movimento politico Forza Italia,Piemonte,2023,2022,2636,0
Noi con l'Italia,Piemonte,2023,2022,215,0
Partito Autonomista Trentino Tirolese,Piemonte,2023,2022,244,0
Partito Democratico,Piemonte,2023,2022,44506,0
Partito Socialista Italiano,Piemonte,2023,2022,955,0
Piu' Europa,Piemonte,2023,2022,6404,0
Possibile,Piemonte,2023,2022,2449,0
Radicali Italiani,Piemonte,2023,2022,2300,0
Sinistra Italiana,Piemonte,2023,2022,7452,0
Stella Alpina,Piemonte,2023,2022,485,0
Sud chiama Nord,Piemonte,2023,2022,740,0
Sudtiroler Volkspartei,Piemonte,2023,2022,566,0
UDC - Unione di centro,Piemonte,2023,2022,116,0
Unione Sudamericana Emigrati Italiani,Piemonte,2023,2022,1390,0
Union Valdotaine,Piemonte,2023,2022,937,0
Articolo 1 - Movimento Democratico e Progressista,Valle d'Aosta,2023,2022,60,0
Azione,Valle d'Aosta,2023,2022,53,0
Centro Democratico,Valle d'Aosta,2023,2022,,1
Coraggio Italia,Valle d'Aosta,2023,2022,,1
Democrazia Solidale - DemoS,Valle d'Aosta,2023,2022,,1
Europa Verde-Verdi,Valle d'Aosta,2023,2022,206,0
Fratelli d'Italia - Alleanza Nazionale,Valle d'Aosta,2023,2022,739,0
