party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Alternativa Popolare,Piemonte,2021,2020,398,0
Articolo 1 - Movimento Democratico e Progressista,Piemonte,2021,2020,4935,0
Azione,Piemonte,2021,2020,2984,0
Cambiamo!,Piemonte,2021,2020,438,0
Centro Democratico,Piemonte,2021,2020,645,0
Democrazia Solidale - Demo.S,Piemonte,2021,2020,209,0
Federazione dei Verdi,Piemonte,2021,2020,4003,0
Fratelli d'Italia - Alleanza Nazionale,Piemonte,2021,2020,16098,0
IDEA - Identita' e Azione - popolo e liberta',Piemonte,2021,2020,106,0
Italia dei Valori,Piemonte,2021,2020,420,0
Italia Viva,Piemonte,2021,2020,3667,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2021,2020,3081,0
Lega per Salvini Premier,Piemonte,2021,2020,15404,0
Movimento Associativo Italiani all'Estero - MAIE,Piemonte,2021,2020,434,0
Movimento La Puglia in Piu',Piemonte,2021,2020,508,0
Movimento politico Forza Italia,Piemonte,2021,2020,2292,0
Noi con L'Italia,Piemonte,2021,2020,184,0
Partito della Rifondazione Comunista - Sinistra Europea,Piemonte,2021,2020,6224,0
Partito Democratico,Piemonte,2021,2020,39650,0
Partito Socialista Italiano,Piemonte,2021,2020,613,0
Piu' Europa,Piemonte,2021,2020,3453,0
Possibile,Piemonte,2021,2020,1690,0
Radicali Italiani,Piemonte,2021,2020,1885,0
Sinistra Italiana,Piemonte,2021,2020,3891,0
Stella Alpina,Piemonte,2021,2020,341,0
Sudtiroler Volkspartei,Piemonte,2021,2020,348,0
Union Valdotaine,Piemonte,2021,2020,468,0
UDC - Unione di centro,Piemonte,2021,2020,119,0
Unione per il Trentino,Piemonte,2021,2020,286,0
Unione Sudamericana Emigrati Italiani,Piemonte,2021,2020,1338,0
Alternativa Popolare,Valle d'Aosta,2021,2020,,1
Articolo 1 - Movimento Democratico e Progressista,Valle d'Aosta,2021,2020,58,0
Azione,Valle d'Aosta,2021,2020,58,0
Cambiamo!,Valle d'Aosta,2021,2020,,1
Centro Democratico,Valle d'Aosta,2021,2020,17,0
Democrazia Solidale - Demo.S,Valle d'Aosta,2021,2020,,1
Federazione dei Verdi,Valle d'Aosta,2021,2020,143,0
Fratelli d'Italia - Alleanza Nazionale,Valle d'Aosta,2021,2020,431,0
IDEA - Identita' e Azione - popolo e liberta',Valle d'Aosta,2021,2020,,1
Italia dei Valori,Valle d'Aosta,2021,2020,11,0
Italia Viva,Valle d'Aosta,2021,2020,60,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2021,2020,106,0
Lega per Salvini Premier,Valle d'Aosta,2021,2020,528,0
Movimento Associativo Italiani all'Estero - MAIE,Valle d'Aosta,2021,2020,14,0
Movimento La Puglia in Piu',Valle d'Aosta,2021,2020,20,0
Movimento politico Forza Italia,Valle d'Aosta,2021,2020,54,0
Noi con L'Italia,Valle d'Aosta,2021,2020,,1
Partito della Rifondazione Comunista - Sinistra Europea,Valle d'Aosta,2021,2020,135,0
