official_name,declaration_year,tax_year,code
Alternativa popolare,2019,2018,Z39
Articolo 1 - Movimento Democratico e Progressista,2019,2018,Z40
Centro Democratico,2019,2018,A10
Federazione dei Verdi,2019,2018,B30
Fratelli d’Italia - Alleanza Nazionale,2019,2018,C12
IDEA - Identità e Azione,2019,2018,C35
Lega Nord per l’Indipendenza della Padania,2019,2018,D13
Lega per Salvini Premier,2019,2018,D43
Movimento Associativo Italiani all’Estero,2019,2018,E14
Movimento - La Puglia in Più,2019,2018,E32
Movimento politico Forza Italia,2019,2018,F15
Partito Autonomista Trentino Tirolese,2019,2018,K18
Partito della Rifondazione Comunista - Sinistra Europea,2019,2018,L19
Partito Democratico,2019,2018,M20
Partito Socialista Italiano,2019,2018,R22
+ Europa,2019,2018,R45
Possibile,2019,2018,S36
Sinistra Italiana,2019,2018,T44
Südtiroler Volkspartei,2019,2018,W26
Union Valdôtaine,2019,2018,Y27
Unione per il Trentino,2019,2018,Z28
Unione Sudamericana Emigrati Italiani,2019,2018,Z38
