party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Articolo 1 - Movimento Democratico e Progressista,Piemonte,2022,2021,6253,0
Azione,Piemonte,2022,2021,4060,0
Cambiamo!,Piemonte,2022,2021,483,0
Centro Democratico,Piemonte,2022,2021,718,0
Democrazia Solidale - Demo.S,Piemonte,2022,2021,261,0
Europa Verde-Verdi,Piemonte,2022,2021,6371,0
Fratelli d'Italia - Alleanza Nazionale,Piemonte,2022,2021,17932,0
DEA - Identita' e Azione - popolo e liberta',Piemonte,2022,2021,134,0
Italexit per l'Italia,Piemonte,2022,2021,4658,0
Italia dei Valori,Piemonte,2022,2021,438,0
Italia Viva,Piemonte,2022,2021,4044,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2022,2021,2516,0
Lega per Salvini Premier,Piemonte,2022,2021,9377,0
Movimento Associativo Italiani all'Estero - MAIE,Piemonte,2022,2021,527,0
Movimento La Puglia in Piu',Piemonte,2022,2021,631,0
Movimento politico Forza Italia,Piemonte,2022,2021,2492,0
Partito Autonomista Trentino Tirolese,Piemonte,2022,2021,158,0
Partito Democratico,Piemonte,2022,2021,40694,0
Partito Socialista Italiano,Piemonte,2022,2021,765,0
Piu' Europa,Piemonte,2022,2021,4842,0
Possibile,Piemonte,2022,2021,2206,0
Radicali Italiani,Piemonte,2022,2021,2138,0
Sinistra Italiana,Piemonte,2022,2021,7069,0
Stella Alpina,Piemonte,2022,2021,449,0
Sudtiroler Volkspartei,Piemonte,2022,2021,423,0
Union Valdotaine,Piemonte,2022,2021,787,0
UDC - Unione di centro,Piemonte,2022,2021,143,0
Unione per il Trentino,Piemonte,2022,2021,272,0
Unione Sudamericana Emigrati Italiani,Piemonte,2022,2021,1416,0
Articolo 1 - Movimento Democratico e Progressista,Valle d'Aosta,2022,2021,84,0
Azione,Valle d'Aosta,2022,2021,72,0
Cambiamo!,Valle d'Aosta,2022,2021,,1
Centro Democratico,Valle d'Aosta,2022,2021,11,0
Democrazia Solidale - Demo.S,Valle d'Aosta,2022,2021,,1
Europa Verde-Verdi,Valle d'Aosta,2022,2021,183,0
Fratelli d'Italia - Alleanza Nazionale,Valle d'Aosta,2022,2021,478,0
DEA - Identita' e Azione - popolo e liberta',Valle d'Aosta,2022,2021,,1
Italexit per l'Italia,Valle d'Aosta,2022,2021,145,0
Italia dei Valori,Valle d'Aosta,2022,2021,,1
Italia Viva,Valle d'Aosta,2022,2021,78,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2022,2021,72,0
Lega per Salvini Premier,Valle d'Aosta,2022,2021,303,0
Movimento Associativo Italiani all'Estero - MAIE,Valle d'Aosta,2022,2021,10,0
Movimento La Puglia in Piu',Valle d'Aosta,2022,2021,,1
Movimento politico Forza Italia,Valle d'Aosta,2022,2021,80,0
Partito Autonomista Trentino Tirolese,Valle d'Aosta,2022,2021,,1
Partito Democratico,Valle d'Aosta,2022,2021,819,0
Partito Socialista Italiano,Valle d'Aosta,2022,2021,21,0
Piu' Europa,Valle d'Aosta,2022,2021,96,0
Possibile,Valle d'Aosta,2022,2021,37,0
Radicali Italiani,Valle d'Aosta,2022,2021,62,0
Sinistra Italiana,Valle d'Aosta,2022,2021,141,0
Stella Alpina,Valle d'Aosta,2022,2021,142,0
Sudtiroler Volkspartei,Valle d'Aosta,2022,2021,20,0
Union Valdotaine,Valle d'Aosta,2022,2021,1153,0
UDC - Unione di centro,Valle d'Aosta,2022,2021,,1
Unione per il Trentino,Valle d'Aosta,2022,2021,,1
Unione Sudamericana Emigrati Italiani,Valle d'Aosta,2022,2021,32,0
Articolo 1 - Movimento Democratico e Progressista,Lombardia,2022,2021,12536,0
Azione,Lombardia,2022,2021,13137,0
Cambiamo!,Lombardia,2022,2021,941,0
Centro Democratico,Lombardia,2022,2021,1657,0
Democrazia Solidale - Demo.S,Lombardia,2022,2021,301,0
Europa Verde-Verdi,Lombardia,2022,2021,18595,0
Fratelli d'Italia - Alleanza Nazionale,Lombardia,2022,2021,51348,0
DEA - Identita' e Azione - popolo e liberta',Lombardia,2022,2021,280,0
Italexit per l'Italia,Lombardia,2022,2021,9208,0
Italia dei Valori,Lombardia,2022,2021,968,0
Italia Viva,Lombardia,2022,2021,11512,0
Lega Nord per l'Indipendenza della Padania,Lombardia,2022,2021,13895,0
Lega per Salvini Premier,Lombardia,2022,2021,37649,0
Movimento Associativo Italiani all'Estero - MAIE,Lombardia,2022,2021,1180,0
Movimento La Puglia in Piu',Lombardia,2022,2021,1562,0
Movimento politico Forza Italia,Lombardia,2022,2021,9129,0
Partito Autonomista Trentino Tirolese,Lombardia,2022,2021,461,0
Partito Democratico,Lombardia,2022,2021,103969,0
Partito Socialista Italiano,Lombardia,2022,2021,2704,0
Piu' Europa,Lombardia,2022,2021,11759,0
Possibile,Lombardia,2022,2021,5584,0
Radicali Italiani,Lombardia,2022,2021,5799,0
Sinistra Italiana,Lombardia,2022,2021,14472,0
Stella Alpina,Lombardia,2022,2021,1137,0
Sudtiroler Volkspartei,Lombardia,2022,2021,1314,0
Union Valdotaine,Lombardia,2022,2021,985,0
UDC - Unione di centro,Lombardia,2022,2021,670,0
Unione per il Trentino,Lombardia,2022,2021,1121,0
Unione Sudamericana Emigrati Italiani,Lombardia,2022,2021,2628,0
Articolo 1 - Movimento Democratico e Progressista,Liguria,2022,2021,2156,0
Azione,Liguria,2022,2021,1101,0
Cambiamo!,Liguria,2022,2021,532,0
Centro Democratico,Liguria,2022,2021,199,0
Democrazia Solidale - Demo.S,Liguria,2022,2021,123,0
Europa Verde-Verdi,Liguria,2022,2021,2204,0
Fratelli d'Italia - Alleanza Nazionale,Liguria,2022,2021,5339,0
DEA - Identita' e Azione - popolo e liberta',Liguria,2022,2021,38,0
Italexit per l'Italia,Liguria,2022,2021,1406,0
Italia dei Valori,Liguria,2022,2021,98,0
Italia Viva,Liguria,2022,2021,1261,0
Lega Nord per l'Indipendenza della Padania,Liguria,2022,2021,536,0
Lega per Salvini Premier,Liguria,2022,2021,3059,0
Movimento Associativo Italiani all'Estero - MAIE,Liguria,2022,2021,155,0
Movimento La Puglia in Piu',Liguria,2022,2021,113,0
Movimento politico Forza Italia,Liguria,2022,2021,1025,0
Partito Autonomista Trentino Tirolese,Liguria,2022,2021,54,0
Partito Democratico,Liguria,2022,2021,14314,0
Partito Socialista Italiano,Liguria,2022,2021,332,0
Piu' Europa,Liguria,2022,2021,1037,0
Possibile,Liguria,2022,2021,640,0
Radicali Italiani,Liguria,2022,2021,578,0
Sinistra Italiana,Liguria,2022,2021,2439,0
Stella Alpina,Liguria,2022,2021,111,0
Sudtiroler Volkspartei,Liguria,2022,2021,174,0
Union Valdotaine,Liguria,2022,2021,175,0
UDC - Unione di centro,Liguria,2022,2021,38,0
Unione per il Trentino,Liguria,2022,2021,100,0
Unione Sudamericana Emigrati Italiani,Liguria,2022,2021,278,0
Articolo 1 - Movimento Democratico e Progressista,Trentino Alto Adige,2022,2021,615,0
Azione,Trentino Alto Adige,2022,2021,701,0
Cambiamo!,Trentino Alto Adige,2022,2021,54,0
Centro Democratico,Trentino Alto Adige,2022,2021,115,0
Democrazia Solidale - Demo.S,Trentino Alto Adige,2022,2021,17,0
Europa Verde-Verdi,Trentino Alto Adige,2022,2021,3060,0
Fratelli d'Italia - Alleanza Nazionale,Trentino Alto Adige,2022,2021,2921,0
DEA - Identita' e Azione - popolo e liberta',Trentino Alto Adige,2022,2021,33,0
Italexit per l'Italia,Trentino Alto Adige,2022,2021,966,0
Italia dei Valori,Trentino Alto Adige,2022,2021,54,0
Italia Viva,Trentino Alto Adige,2022,2021,555,0
Lega Nord per l'Indipendenza della Padania,Trentino Alto Adige,2022,2021,397,0
Lega per Salvini Premier,Trentino Alto Adige,2022,2021,1924,0
Movimento Associativo Italiani all'Estero - MAIE,Trentino Alto Adige,2022,2021,78,0
Movimento La Puglia in Piu',Trentino Alto Adige,2022,2021,60,0
Movimento politico Forza Italia,Trentino Alto Adige,2022,2021,338,0
Partito Autonomista Trentino Tirolese,Trentino Alto Adige,2022,2021,1236,0
Partito Democratico,Trentino Alto Adige,2022,2021,6449,0
Partito Socialista Italiano,Trentino Alto Adige,2022,2021,144,0
Piu' Europa,Trentino Alto Adige,2022,2021,846,0
Possibile,Trentino Alto Adige,2022,2021,339,0
Radicali Italiani,Trentino Alto Adige,2022,2021,360,0
Sinistra Italiana,Trentino Alto Adige,2022,2021,790,0
Stella Alpina,Trentino Alto Adige,2022,2021,145,0
Sudtiroler Volkspartei,Trentino Alto Adige,2022,2021,11799,0
Union Valdotaine,Trentino Alto Adige,2022,2021,30,0
UDC - Unione di centro,Trentino Alto Adige,2022,2021,31,0
Unione per il Trentino,Trentino Alto Adige,2022,2021,1176,0
Unione Sudamericana Emigrati Italiani,Trentino Alto Adige,2022,2021,198,0
Articolo 1 - Movimento Democratico e Progressista,Veneto,2022,2021,5366,0
Azione,Veneto,2022,2021,4715,0
Cambiamo!,Veneto,2022,2021,353,0
Centro Democratico,Veneto,2022,2021,696,0
Democrazia Solidale - Demo.S,Veneto,2022,2021,195,0
Europa Verde-Verdi,Veneto,2022,2021,9212,0
Fratelli d'Italia - Alleanza Nazionale,Veneto,2022,2021,26049,0
DEA - Identita' e Azione - popolo e liberta',Veneto,2022,2021,125,0
Italexit per l'Italia,Veneto,2022,2021,5858,0
Italia dei Valori,Veneto,2022,2021,366,0
Italia Viva,Veneto,2022,2021,3612,0
Lega Nord per l'Indipendenza della Padania,Veneto,2022,2021,15862,0
Lega per Salvini Premier,Veneto,2022,2021,15411,0
Movimento Associativo Italiani all'Estero - MAIE,Veneto,2022,2021,575,0
Movimento La Puglia in Piu',Veneto,2022,2021,439,0
