official_name,declaration_year,tax_year,code
Articolo 1 - Movimento Democratico e Progressista,2022,2021,Z40
Azione,2022,2021,S48
Cambiamo!,2022,2021,S49
Centro Democratico,2022,2021,A10
Democrazia Solidale – Demo. S,2022,2021,A41
Europa Verde - Verdi,2022,2021,B30
Fratelli d’Italia – Alleanza Nazionale,2022,2021,C12
IDEA – Identità e Azione – popolo e libertà,2022,2021,C35
Italexit per l’Italia,2022,2021,C51
Italia dei Valori,2022,2021,C31
Italia Viva,2022,2021,C46
Lega Nord per l’Indipendenza della Padania,2022,2021,D13
Lega per Salvini Premier,2022,2021,D43
Movimento Associativo Italiani all’Estero – MAIE,2022,2021,E14
Movimento politico Forza Italia,2022,2021,F15
Movimento – La Puglia in Più,2022,2021,E32
Partito Autonomista Trentino Tirolese,2022,2021,K18
Partito Democratico,2022,2021,M20
Partito Socialista Italiano,2022,2021,R22
+ Europa,2022,2021,R45
Possibile,2022,2021,S36
Radicali italiani,2022,2021,S47
Sinistra Italiana,2022,2021,T44
Stella Alpina,2022,2021,U37
Südtiroler Volkspartei,2022,2021,W26
UDC – Unione di centro,2022,2021,Y29
Unione per il Trentino,2022,2021,Z28
Unione Sudamericana Emigrati Italiani,2022,2021,Z38
Union Valdôtaine,2022,2021,Y27
