party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Articolo 1- Movimento Democratico e Progressista,Piemonte,2020,2019,3227,0
Azione (gia' Siamo Europei),Piemonte,2020,2019,2713,0
Centro Democratico,Piemonte,2020,2019,1335,0
Democrazia Solidale - Demo.S,Piemonte,2020,2019,233,0
Federazione dei Verdi,Piemonte,2020,2019,4376,0
Fratelli d'ltalia - Alleanza Nazionale,Piemonte,2020,2019,11904,0
IDEA - Identita' e Azione,Piemonte,2020,2019,127,0
Italia dei Valori,Piemonte,2020,2019,403,0
Italia Viva,Piemonte,2020,2019,3683,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2020,2019,3922,0
Lega per Salvini Premier,Piemonte,2020,2019,19570,0
Movimento Associativo Italiani all'Estero,Piemonte,2020,2019,537,0
Movimento La Puglia in piu',Piemonte,2020,2019,624,0
Movimento politico Forza Italia,Piemonte,2020,2019,2329,0
Partito Autonomista Trentino Tirolese,Piemonte,2020,2019,133,0
Partito della Rifondazione Comunista - Sinistra Europea,Piemonte,2020,2019,5976,0
Partito Democratico,Piemonte,2020,2019,42087,0
Partito Socialista Italiano,Piemonte,2020,2019,605,0
Piu' Europa,Piemonte,2020,2019,4866,0
Possibile,Piemonte,2020,2019,1219,0
Radicali Italiani,Piemonte,2020,2019,1696,0
Sinistra Italiana,Piemonte,2020,2019,3333,0
Sudtiroler Volkspartei,Piemonte,2020,2019,316,0
UDC - Unione di Centro,Piemonte,2020,2019,101,0
Union Valdotaine,Piemonte,2020,2019,482,0
Unione per il Trentino,Piemonte,2020,2019,234,0
Unione Sudamericana Emigrati Italiani,Piemonte,2020,2019,843,0
Articolo 1- Movimento Democratico e Progressista,Valle d'Aosta,2020,2019,49,0
Azione (gia' Siamo Europei),Valle d'Aosta,2020,2019,57,0
Centro Democratico,Valle d'Aosta,2020,2019,11,0
Democrazia Solidale - Demo.S,Valle d'Aosta,2020,2019,,1
Federazione dei Verdi,Valle d'Aosta,2020,2019,158,0
Fratelli d'ltalia - Alleanza Nazionale,Valle d'Aosta,2020,2019,269,0
IDEA - Identita' e Azione,Valle d'Aosta,2020,2019,,1
Italia dei Valori,Valle d'Aosta,2020,2019,10,0
Italia Viva,Valle d'Aosta,2020,2019,77,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2020,2019,145,0
Lega per Salvini Premier,Valle d'Aosta,2020,2019,599,0
Movimento Associativo Italiani all'Estero,Valle d'Aosta,2020,2019,,1
Movimento La Puglia in piu',Valle d'Aosta,2020,2019,16,0
Movimento politico Forza Italia,Valle d'Aosta,2020,2019,64,0
Partito Autonomista Trentino Tirolese,Valle d'Aosta,2020,2019,,1
Partito della Rifondazione Comunista - Sinistra Europea,Valle d'Aosta,2020,2019,134,0
Partito Democratico,Valle d'Aosta,2020,2019,804,0
Partito Socialista Italiano,Valle d'Aosta,2020,2019,16,0
Piu' Europa,Valle d'Aosta,2020,2019,98,0
Possibile,Valle d'Aosta,2020,2019,28,0
Radicali Italiani,Valle d'Aosta,2020,2019,57,0
Sinistra Italiana,Valle d'Aosta,2020,2019,50,0
Sudtiroler Volkspartei,Valle d'Aosta,2020,2019,13,0
UDC - Unione di Centro,Valle d'Aosta,2020,2019,,1
Union Valdotaine,Valle d'Aosta,2020,2019,1180,0
Unione per il Trentino,Valle d'Aosta,2020,2019,,1
Unione Sudamericana Emigrati Italiani,Valle d'Aosta,2020,2019,22,0
Articolo 1- Movimento Democratico e Progressista,Lombardia,2020,2019,6460,0
Azione (gia' Siamo Europei),Lombardia,2020,2019,8383,0
Centro Democratico,Lombardia,2020,2019,2720,0
Democrazia Solidale - Demo.S,Lombardia,2020,2019,308,0
