party_name,declaration_year,tax_year,valid_choices,amount
Alternativa Popolare,2021,2020,3811,34696.0
Articolo 1 - Movimento Democratico e Progressista,2021,2020,52695,699963.0
Azione,2021,2020,36028,882093.0
Cambiamo!,2021,2020,6211,54427.0
Centro Democratico,2021,2020,8398,90768.0
Democrazia Solidale - Demo.S,2021,2020,2314,28058.0
Federazione dei Verdi,2021,2020,51295,574353.0
Fratelli d'Italia - Alleanza Nazionale,2021,2020,209070,2697915.0
IDEA - Identita' e Azione - popolo e liberta',2021,2020,1337,19530.0
Italia dei Valori,2021,2020,4512,54339.0
Italia Viva,2021,2020,47073,807964.0
Lega Nord per l'Indipendenza della Padania,2021,2020,44487,485090.0
Lega per Salvini Premier,2021,2020,162000,1822937.0
Movimento Associativo Italiani all'Estero - MAIE,2021,2020,4733,47368.0
Movimento La Puglia in Piu',2021,2020,6640,67830.0
Movimento politico Forza Italia,2021,2020,32125,563518.0
Noi con L'Italia,2021,2020,2559,38979.0
Partito della Rifondazione Comunista - Sinistra Europea,2021,2020,54844,574499.0
Partito Democratico,2021,2020,464074,6907837.0
Partito Socialista Italiano,2021,2020,14291,149388.0
Piu' Europa,2021,2020,29328,403515.0
Possibile,2021,2020,17648,205266.0
Radicali Italiani,2021,2020,18731,270915.0
Sinistra Italiana,2021,2020,43157,504166.0
Stella Alpina,2021,2020,3128,27852.0
Sudtiroler Volkspartei,2021,2020,17450,310050.0
Union Valdotaine,2021,2020,2862,41650.0
UDC - Unione di centro,2021,2020,2246,28622.0
Unione per il Trentino,2021,2020,4570,46278.0
Unione Sudamericana Emigrati Italiani,2021,2020,12903,118014.0
