party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Azione,Piemonte,2024,2023,4786,0
Campobase,Piemonte,2024,2023,149,0
Centro Democratico,Piemonte,2024,2023,1252,0
Coraggio Italia,Piemonte,2024,2023,194,0
Democrazia Solidale - DemoS,Piemonte,2024,2023,329,0
Europa Verde-Verdi,Piemonte,2024,2023,12328,0
Fratelli d'Italia - Alleanza Nazionale,Piemonte,2024,2023,30390,0
Italia dei Valori,Piemonte,2024,2023,412,0
Italia Viva,Piemonte,2024,2023,4133,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2024,2023,2376,0
Lega per Salvini Premier,Piemonte,2024,2023,8276,0
L'Italia c'e'!,Piemonte,2024,2023,118,0
Movimento Associativo Italiani all'Estero - MAIE,Piemonte,2024,2023,585,0
Movimento Cinque Stelle,Piemonte,2024,2023,19772,0
Movimento politico Forza Italia,Piemonte,2024,2023,3781,0
Noi Moderati,Piemonte,2024,2023,510,0
Partito Autonomista Trentino Tirolese,Piemonte,2024,2023,283,0
Partito Democratico,Piemonte,2024,2023,52883,0
Partito Socialista Italiano,Piemonte,2024,2023,1145,0
Piu' Europa,Piemonte,2024,2023,6912,0
Possibile,Piemonte,2024,2023,2535,0
Radicali Italiani,Piemonte,2024,2023,2492,0
Sinistra Italiana,Piemonte,2024,2023,11410,0
Stella Alpina,Piemonte,2024,2023,610,0
Sud chiama Nord,Piemonte,2024,2023,976,0
Sudtiroler Volkspartei,Piemonte,2024,2023,675,0
UDC - Unione di centro,Piemonte,2024,2023,135,0
Unione Sudamericana Emigrati Italiani,Piemonte,2024,2023,1492,0
Union Valdotaine,Piemonte,2024,2023,1233,0
Azione,Valle d'Aosta,2024,2023,88,0
Campobase,Valle d'Aosta,2024,2023,,1
Centro Democratico,Valle d'Aosta,2024,2023,28,0
Coraggio Italia,Valle d'Aosta,2024,2023,,1
Democrazia Solidale - DemoS,Valle d'Aosta,2024,2023,,1
Europa Verde-Verdi,Valle d'Aosta,2024,2023,303,0
Fratelli d'Italia - Alleanza Nazionale,Valle d'Aosta,2024,2023,750,0
Italia dei Valori,Valle d'Aosta,2024,2023,,1
Italia Viva,Valle d'Aosta,2024,2023,79,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2024,2023,60,0
Lega per Salvini Premier,Valle d'Aosta,2024,2023,275,0
L'Italia c'e'!,Valle d'Aosta,2024,2023,0,0
Movimento Associativo Italiani all'Estero - MAIE,Valle d'Aosta,2024,2023,17,0
Movimento Cinque Stelle,Valle d'Aosta,2024,2023,291,0
Movimento politico Forza Italia,Valle d'Aosta,2024,2023,128,0
Noi Moderati,Valle d'Aosta,2024,2023,,1
Partito Autonomista Trentino Tirolese,Valle d'Aosta,2024,2023,,1
Partito Democratico,Valle d'Aosta,2024,2023,1082,0
Partito Socialista Italiano,Valle d'Aosta,2024,2023,18,0
Piu' Europa,Valle d'Aosta,2024,2023,104,0
Possibile,Valle d'Aosta,2024,2023,45,0
Radicali Italiani,Valle d'Aosta,2024,2023,60,0
Sinistra Italiana,Valle d'Aosta,2024,2023,223,0
Stella Alpina,Valle d'Aosta,2024,2023,216,0
Sud chiama Nord,Valle d'Aosta,2024,2023,14,0
Sudtiroler Volkspartei,Valle d'Aosta,2024,2023,24,0
UDC - Unione di centro,Valle d'Aosta,2024,2023,,1
Unione Sudamericana Emigrati Italiani,Valle d'Aosta,2024,2023,39,0
Union Valdotaine,Valle d'Aosta,2024,2023,1419,0
Azione,Lombardia,2024,2023,15269,0
Campobase,Lombardia,2024,2023,321,0
Centro Democratico,Lombardia,2024,2023,2878,0
Coraggio Italia,Lombardia,2024,2023,473,0
Democrazia Solidale - DemoS,Lombardia,2024,2023,412,0
Europa Verde-Verdi,Lombardia,2024,2023,33277,0
Fratelli d'Italia - Alleanza Nazionale,Lombardia,2024,2023,90419,0
Italia dei Valori,Lombardia,2024,2023,911,0
Italia Viva,Lombardia,2024,2023,12784,0
Lega Nord per l'Indipendenza della Padania,Lombardia,2024,2023,13957,0
Lega per Salvini Premier,Lombardia,2024,2023,32828,0
L'Italia c'e'!,Lombardia,2024,2023,255,0
Movimento Associativo Italiani all'Estero - MAIE,Lombardia,2024,2023,1432,0
Movimento Cinque Stelle,Lombardia,2024,2023,36997,0
Movimento politico Forza Italia,Lombardia,2024,2023,12427,0
Noi Moderati,Lombardia,2024,2023,2718,0
Partito Autonomista Trentino Tirolese,Lombardia,2024,2023,987,0
Partito Democratico,Lombardia,2024,2023,135355,0
Partito Socialista Italiano,Lombardia,2024,2023,2851,0
Piu' Europa,Lombardia,2024,2023,16539,0
Possibile,Lombardia,2024,2023,5992,0
Radicali Italiani,Lombardia,2024,2023,6454,0
Sinistra Italiana,Lombardia,2024,2023,23166,0
Stella Alpina,Lombardia,2024,2023,1900,0
Sud chiama Nord,Lombardia,2024,2023,4477,0
Sudtiroler Volkspartei,Lombardia,2024,2023,2351,0
UDC - Unione di centro,Lombardia,2024,2023,420,0
Unione Sudamericana Emigrati Italiani,Lombardia,2024,2023,3407,0
Union Valdotaine,Lombardia,2024,2023,1456,0
Azione,Liguria,2024,2023,1413,0
Campobase,Liguria,2024,2023,36,0
Centro Democratico,Liguria,2024,2023,352,0
Coraggio Italia,Liguria,2024,2023,58,0
Democrazia Solidale - DemoS,Liguria,2024,2023,155,0
Europa Verde-Verdi,Liguria,2024,2023,3680,0
Fratelli d'Italia - Alleanza Nazionale,Liguria,2024,2023,8733,0
Italia dei Valori,Liguria,2024,2023,112,0
Italia Viva,Liguria,2024,2023,1302,0
Lega Nord per l'Indipendenza della Padania,Liguria,2024,2023,467,0
Lega per Salvini Premier,Liguria,2024,2023,2762,0
L'Italia c'e'!,Liguria,2024,2023,22,0
Movimento Associativo Italiani all'Estero - MAIE,Liguria,2024,2023,186,0
Movimento Cinque Stelle,Liguria,2024,2023,6745,0
Movimento politico Forza Italia,Liguria,2024,2023,1174,0
Noi Moderati,Liguria,2024,2023,246,0
Partito Autonomista Trentino Tirolese,Liguria,2024,2023,127,0
Partito Democratico,Liguria,2024,2023,19016,0
Partito Socialista Italiano,Liguria,2024,2023,335,0
Piu' Europa,Liguria,2024,2023,1498,0
Possibile,Liguria,2024,2023,1004,0
Radicali Italiani,Liguria,2024,2023,614,0
Sinistra Italiana,Liguria,2024,2023,3772,0
Stella Alpina,Liguria,2024,2023,186,0
Sud chiama Nord,Liguria,2024,2023,936,0
Sudtiroler Volkspartei,Liguria,2024,2023,261,0
UDC - Unione di centro,Liguria,2024,2023,51,0
Unione Sudamericana Emigrati Italiani,Liguria,2024,2023,375,0
Union Valdotaine,Liguria,2024,2023,313,0
Azione,Trentino Alto Adige,2024,2023,821,0
Campobase,Trentino Alto Adige,2024,2023,589,0
Centro Democratico,Trentino Alto Adige,2024,2023,192,0
Coraggio Italia,Trentino Alto Adige,2024,2023,33,0
Democrazia Solidale - DemoS,Trentino Alto Adige,2024,2023,42,0
Europa Verde-Verdi,Trentino Alto Adige,2024,2023,4910,0
Fratelli d'Italia - Alleanza Nazionale,Trentino Alto Adige,2024,2023,5280,0
Italia dei Valori,Trentino Alto Adige,2024,2023,56,0
Italia Viva,Trentino Alto Adige,2024,2023,593,0
Lega Nord per l'Indipendenza della Padania,Trentino Alto Adige,2024,2023,368,0
Lega per Salvini Premier,Trentino Alto Adige,2024,2023,1671,0
L'Italia c'e'!,Trentino Alto Adige,2024,2023,,1
Movimento Associativo Italiani all'Estero - MAIE,Trentino Alto Adige,2024,2023,108,0
Movimento Cinque Stelle,Trentino Alto Adige,2024,2023,2179,0
Movimento politico Forza Italia,Trentino Alto Adige,2024,2023,435,0
Noi Moderati,Trentino Alto Adige,2024,2023,61,0
Partito Autonomista Trentino Tirolese,Trentino Alto Adige,2024,2023,1800,0
Partito Democratico,Trentino Alto Adige,2024,2023,8536,0
Partito Socialista Italiano,Trentino Alto Adige,2024,2023,164,0
Piu' Europa,Trentino Alto Adige,2024,2023,1210,0
Possibile,Trentino Alto Adige,2024,2023,318,0
Radicali Italiani,Trentino Alto Adige,2024,2023,392,0
Sinistra Italiana,Trentino Alto Adige,2024,2023,1269,0
Stella Alpina,Trentino Alto Adige,2024,2023,232,0
Sud chiama Nord,Trentino Alto Adige,2024,2023,133,0
Sudtiroler Volkspartei,Trentino Alto Adige,2024,2023,13761,0
UDC - Unione di centro,Trentino Alto Adige,2024,2023,31,0
Unione Sudamericana Emigrati Italiani,Trentino Alto Adige,2024,2023,243,0
Union Valdotaine,Trentino Alto Adige,2024,2023,39,0
Azione,Veneto,2024,2023,6292,0
Campobase,Veneto,2024,2023,140,0
Centro Democratico,Veneto,2024,2023,1140,0
Coraggio Italia,Veneto,2024,2023,533,0
Democrazia Solidale - DemoS,Veneto,2024,2023,269,0
Europa Verde-Verdi,Veneto,2024,2023,15679,0
Fratelli d'Italia - Alleanza Nazionale,Veneto,2024,2023,42158,0
Italia dei Valori,Veneto,2024,2023,444,0
Italia Viva,Veneto,2024,2023,3990,0
Lega Nord per l'Indipendenza della Padania,Veneto,2024,2023,17130,0
Lega per Salvini Premier,Veneto,2024,2023,12644,0
L'Italia c'e'!,Veneto,2024,2023,94,0
Movimento Associativo Italiani all'Estero - MAIE,Veneto,2024,2023,731,0
Movimento Cinque Stelle,Veneto,2024,2023,14643,0
Movimento politico Forza Italia,Veneto,2024,2023,3956,0
Noi Moderati,Veneto,2024,2023,552,0
Partito Autonomista Trentino Tirolese,Veneto,2024,2023,496,0
Partito Democratico,Veneto,2024,2023,52481,0
Partito Socialista Italiano,Veneto,2024,2023,1029,0
Piu' Europa,Veneto,2024,2023,6613,0
Possibile,Veneto,2024,2023,2254,0
Radicali Italiani,Veneto,2024,2023,2492,0
Sinistra Italiana,Veneto,2024,2023,8029,0
Stella Alpina,Veneto,2024,2023,819,0
Sud chiama Nord,Veneto,2024,2023,2494,0
Sudtiroler Volkspartei,Veneto,2024,2023,1367,0
UDC - Unione di centro,Veneto,2024,2023,247,0
Unione Sudamericana Emigrati Italiani,Veneto,2024,2023,1673,0
Union Valdotaine,Veneto,2024,2023,395,0
Azione,Friuli Venezia Giulia,2024,2023,1445,0
Campobase,Friuli Venezia Giulia,2024,2023,42,0
Centro Democratico,Friuli Venezia Giulia,2024,2023,276,0
Coraggio Italia,Friuli Venezia Giulia,2024,2023,62,0
Democrazia Solidale - DemoS,Friuli Venezia Giulia,2024,2023,47,0
Europa Verde-Verdi,Friuli Venezia Giulia,2024,2023,3297,0
Fratelli d'Italia - Alleanza Nazionale,Friuli Venezia Giulia,2024,2023,13240,0
Italia dei Valori,Friuli Venezia Giulia,2024,2023,112,0
Italia Viva,Friuli Venezia Giulia,2024,2023,977,0
Lega Nord per l'Indipendenza della Padania,Friuli Venezia Giulia,2024,2023,947,0
Lega per Salvini Premier,Friuli Venezia Giulia,2024,2023,3338,0
L'Italia c'e'!,Friuli Venezia Giulia,2024,2023,29,0
Movimento Associativo Italiani all'Estero - MAIE,Friuli Venezia Giulia,2024,2023,256,0
Movimento Cinque Stelle,Friuli Venezia Giulia,2024,2023,3960,0
Movimento politico Forza Italia,Friuli Venezia Giulia,2024,2023,1191,0
Noi Moderati,Friuli Venezia Giulia,2024,2023,162,0
Partito Autonomista Trentino Tirolese,Friuli Venezia Giulia,2024,2023,165,0
Partito Democratico,Friuli Venezia Giulia,2024,2023,12448,0
Partito Socialista Italiano,Friuli Venezia Giulia,2024,2023,273,0
Piu' Europa,Friuli Venezia Giulia,2024,2023,1595,0
Possibile,Friuli Venezia Giulia,2024,2023,631,0
Radicali Italiani,Friuli Venezia Giulia,2024,2023,707,0
Sinistra Italiana,Friuli Venezia Giulia,2024,2023,2464,0
Stella Alpina,Friuli Venezia Giulia,2024,2023,275,0
Sud chiama Nord,Friuli Venezia Giulia,2024,2023,200,0
Sudtiroler Volkspartei,Friuli Venezia Giulia,2024,2023,676,0
UDC - Unione di centro,Friuli Venezia Giulia,2024,2023,48,0
Unione Sudamericana Emigrati Italiani,Friuli Venezia Giulia,2024,2023,441,0
Union Valdotaine,Friuli Venezia Giulia,2024,2023,177,0
Azione,Emilia Romagna,2024,2023,4668,0
Campobase,Emilia Romagna,2024,2023,114,0
