party_name,declaration_year,tax_year,valid_choices,amount
Alternativa Popolare,2019,2018,3022,36029.0
Articolo 1 Movimento Democratico e Progressista,2019,2018,23059,298692.0
Centro Democratico,2019,2018,13077,153834.0
Federazione dei Verdi,2019,2018,59794,695697.0
Fratelli d'Italia - Alleanza Nazionale,2019,2018,93815,1168061.0
IDEA - Identita' e Azione,2019,2018,2103,20095.0
Lega Nord per l'Indipendenza della Padania,2019,2018,63689,753093.0
Lega per Salvini Premier,2019,2018,274512,3091083.0
Movimento Associativo Italiani all'Estero,2019,2018,5934,60670.0
Movimento La Puglia in piu',2019,2018,7553,74831.0
Movimento Politico Forza Italia,2019,2018,35462,623076.0
Partito Autonomista Trentino Tirolese,2019,2018,2851,32217.0
Partito della Rifondazione Comunista,2019,2018,52061,535889.0
Partito Democratico,2019,2018,572686,8437932.0
Partito Socialista Italiano,2019,2018,13487,155489.0
Piu' Europa,2019,2018,51243,809273.0
Possibile,2019,2018,11232,149125.0
Sinistra Italiana,2019,2018,42636,499257.0
Sudtiroler Volkspartei,2019,2018,16178,313429.0
Union Valdotaine,2019,2018,3364,39569.0
Unione per il Trentino,2019,2018,4316,47895.0
Unione Sudamericana Emigrati Italiani,2019,2018,6011,58428.0
