party_name,declaration_year,tax_year,valid_choices,amount
Azione,2025,2024,66275,1515658.0
Campobase,2025,2024,2551,30842.0
Centro Democratico,2025,2024,18098,234884.0
Coraggio Italia,2025,2024,2966,30067.0
Democrazia Cristiana con Rotondi,2025,2024,2956,36022.0
Democrazia Solidale - DemoS,2025,2024,3446,53927.0
Europa Verde-Verdi,2025,2024,139503,1548109.0
Fratelli d'Italia - Alleanza Nazionale,2025,2024,435855,6617862.0
Italia dei Valori,2025,2024,5176,71327.0
Italia Viva,2025,2024,55313,1135652.0
Lega Nord per l'Indipendenza della Padania,2025,2024,39887,486655.0
Lega per Salvini Premier,2025,2024,87027,1142468.0
L'Italia c'e'!,2025,2024,1325,12487.0
Movimento Associativo Italiani all'Estero - MAIE,2025,2024,7793,86609.0
Movimento Cinque Stelle,2025,2024,272880,3171153.0
Movimento politico Forza Italia,2025,2024,44617,788656.0
Noi Moderati,2025,2024,13741,195990.0
Partito Autonomista Trentino Tirolese,2025,2024,4769,56774.0
Partito Democratico,2025,2024,632803,10570887.0
Partito Socialista Italiano,2025,2024,19449,222850.0
Piu' Europa,2025,2024,71559,1028437.0
Possibile,2025,2024,27141,305967.0
Radicali Italiani,2025,2024,31458,490126.0
Sinistra Italiana,2025,2024,132020,1687770.0
Stella Alpina,2025,2024,7236,73975.0
Sud chiama Nord,2025,2024,40208,244410.0
Sudtiroler Volkspartei,2025,2024,24112,455240.0
Union Valdotaine,2025,2024,6062,79274.0
Unione Sudamericana Emigrati Italiani,2025,2024,14280,138376.0
Volt Italia,2025,2024,6157,71746.0
