party_name,declaration_year,tax_year,valid_choices,amount
Articolo 1 - Movimento Democratico e Progressista,2022,2021,66911,895065.0
Azione,2022,2021,49167,1256466.0
Cambiamo!,2022,2021,5718,55429.0
Centro Democratico,2022,2021,9155,112877.0
Democrazia Solidale - Demo.S,2022,2021,2958,35676.0
Europa Verde-Verdi,2022,2021,75878,837159.0
Fratelli d'Italia - Alleanza Nazionale,2022,2021,233874,3132360.0
IDEA - Identita' e Azione - popolo e liberta',2022,2021,1595,20670.0
Italexit per l'Italia,2022,2021,43645,460251.0
Italia dei Valori,2022,2021,4716,57404.0
Italia Viva,2022,2021,52693,973345.0
Lega Nord per l'Indipendenza della Padania,2022,2021,38010,441688.0
Lega per Salvini Premier,2022,2021,99667,1210231.0
Movimento Associativo Italiani all'Estero - MAIE,2022,2021,5501,56722.0
Movimento La Puglia in Piu',2022,2021,7988,83088.0
Movimento politico Forza Italia,2022,2021,33720,581373.0
Partito Autonomista Trentino Tirolese,2022,2021,2960,31770.0
Partito Democratico,2022,2021,475808,7346785.0
Partito Socialista Italiano,2022,2021,17218,177397.0
Piu' Europa,2022,2021,41662,577388.0
Possibile,2022,2021,22571,255138.0
Radicali Italiani,2022,2021,23248,342683.0
Sinistra Italiana,2022,2021,71811,832877.0
Stella Alpina,2022,2021,3968,44342.0
Sudtiroler Volkspartei,2022,2021,16823,328043.0
Union Valdotaine,2022,2021,4598,53972.0
UDC - Unione di centro,2022,2021,2584,37186.0
Unione per il Trentino,2022,2021,4967,52213.0
Unione Sudamericana Emigrati Italiani,2022,2021,11970,113209.0
