official_name,declaration_year,tax_year,code
Alternativa popolare,2018,2017,Z39
Articolo 1 - Movimento Democratico e Progressista,2018,2017,Z40
Centro Democratico,2018,2017,A10
Democrazia Solidale – Demo.S,2018,2017,A41
Energie per l’Italia,2018,2017,A42
Federazione dei Verdi,2018,2017,B30
Fratelli d’Italia –Alleanza Nazionale,2018,2017,C12
IDEA – Identità e Azione,2018,2017,C35
Italia dei Valori,2018,2017,C31
Lega Nord per l’Indipendenza della Padania,2018,2017,D13
Lega per Salvini Premier,2018,2017,D43
Movimento Associativo Italiani all’Estero,2018,2017,E14
Movimento La Puglia in Più,2018,2017,E32
Movimento Politico Forza Italia,2018,2017,F15
Partito Autonomista Trentino Tirolese,2018,2017,K18
Partito della Rifondazione Comunista – Sinistra Europea,2018,2017,L19
Partito Democratico,2018,2017,M20
Partito Socialista Italiano,2018,2017,R22
Popolari per l’Italia,2018,2017,S23
Possibile,2018,2017,S36
Scelta Civica,2018,2017,T24
Sinistra Italiana,2018,2017,T44
Stella Alpina,2018,2017,U37
Südtiroler Volkspartei,2018,2017,W26
Union Valdôtaine,2018,2017,Y27
Unione di Centro,2018,2017,Y29
Unione per il Trentino,2018,2017,Z28
