party_name,declaration_year,tax_year,valid_choices,amount
Centro Democratico,2015,2014,19958,177420.0
Die Freiheitlichen,2015,2014,2949,28108.0
Fratelli d'Italia Alleanza Nazionale,2015,2014,56362,607879.0
Lega Nord per l'indipendenza della Padania,2015,2014,138941,1427201.0
Movimento Associativo Italiani all'Estero - MAIE,2015,2014,4429,41668.0
Movimento Politico Forza Italia,2015,2014,60778,681897.0
Movimento Stella Alpina,2015,2014,5263,45709.0
Nuovo Centro Destra,2015,2014,16764,216997.0
PATT - Partito Autonomista Trentino Tirolese,2015,2014,3014,31758.0
Partito della Rifondazione Comunista - Sinistra Europea,2015,2014,46564,441038.0
Partito Democratico,2015,2014,596290,6895161.0
Partito liberale Italiano,2015,2014,2608,41512.0
Partito Socialista Italiano,2015,2014,18257,147906.0
Popolari per l'Italia,2015,2014,2650,28363.0
Scelta Civica,2015,2014,9229,116925.0
Sinistra Ecologia Liberta',2015,2014,100991,1134454.0
SVP - Sudtiroler Volkspartei,2015,2014,12196,192586.0
Union Valdotaine,2015,2014,4083,46319.0
Unione per il Trentino,2015,2014,4962,50674.0
