party_name,declaration_year,tax_year,valid_choices,amount
Centro Democratico,2017,2016,18553,181937.0
Conservatori e Riformisti,2017,2016,7485,64623.0
Fare!,2017,2016,4212,46193.0
Federazione dei Verdi,2017,2016,24882,271125.0
Fratelli d'Italia - Alleanza Nazionale,2017,2016,64682,789937.0
Idea Identita' e Azione,2017,2016,2644,27467.0
Italia dei Valori,2017,2016,7044,74303.0
Lega Nord per l'Indipendenza della Padania,2017,2016,172771,1894085.0
Movimento Associativo Italiani all'Estero,2017,2016,6191,59508.0
Movimento La Puglia in Piu',2017,2016,6403,61738.0
Movimento politico Forza Italia,2017,2016,62284,850392.0
Nuovo Centro Destra,2017,2016,13053,200946.0
Partito Autonomista Trentino Tirolese,2017,2016,3475,38843.0
Partito della Rifondazione Comunista-Sinistra Europea,2017,2016,61383,611337.0
Partito Democratico,2017,2016,602490,7999885.0
Partito Liberale Italiano,2017,2016,3403,57362.0
Partito Socialista Italiano,2017,2016,18006,181787.0
Popolari per l'Italia,2017,2016,2159,24860.0
Possibile,2017,2016,19613,247468.0
Scelta Civica,2017,2016,8071,100732.0
Sinistra Ecologia Liberta',2017,2016,65157,753985.0
Stella Alpina,2017,2016,2977,32680.0
Sudtiroler Volkspartei,2017,2016,24139,477572.0
Union Valdotaine,2017,2016,5387,66661.0
Unione di Centro,2017,2016,5226,39907.0
Unione per il Trentino,2017,2016,4888,54550.0
Unione Sudamericana Emigrati Italiani,2017,2016,11733,105402.0
