party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Alternativa Popolare,Piemonte,2019,2018,230,0
Articolo 1 Movimento Democratico e Progressista,Piemonte,2019,2018,2328,0
Centro Democratico,Piemonte,2019,2018,1160,0
Federazione dei Verdi,Piemonte,2019,2018,4954,0
Fratelli d'Italia - Alleanza Nazionale,Piemonte,2019,2018,5582,0
IDEA - Identita' e Azione,Piemonte,2019,2018,114,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2019,2018,5542,0
Lega per Salvini Premier,Piemonte,2019,2018,26532,0
Movimento Associativo Italiani all'Estero,Piemonte,2019,2018,582,0
Movimento La Puglia in piu',Piemonte,2019,2018,542,0
Movimento Politico Forza Italia,Piemonte,2019,2018,2447,0
Partito Autonomista Trentino Tirolese,Piemonte,2019,2018,111,0
Partito della Rifondazione Comunista,Piemonte,2019,2018,5953,0
Partito Democratico,Piemonte,2019,2018,49745,0
Partito Socialista Italiano,Piemonte,2019,2018,626,0
Piu' Europa,Piemonte,2019,2018,5899,0
Possibile,Piemonte,2019,2018,961,0
Sinistra Italiana,Piemonte,2019,2018,3898,0
Sudtiroler Volkspartei,Piemonte,2019,2018,343,0
Union Valdotaine,Piemonte,2019,2018,543,0
Unione per il Trentino,Piemonte,2019,2018,280,0
Unione Sudamericana Emigrati Italiani,Piemonte,2019,2018,613,0
Alternativa Popolare,Valle d'Aosta,2019,2018,,1
Articolo 1 Movimento Democratico e Progressista,Valle d'Aosta,2019,2018,32,0
Centro Democratico,Valle d'Aosta,2019,2018,19,0
Federazione dei Verdi,Valle d'Aosta,2019,2018,157,0
Fratelli d'Italia - Alleanza Nazionale,Valle d'Aosta,2019,2018,113,0
IDEA - Identita' e Azione,Valle d'Aosta,2019,2018,0,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2019,2018,206,0
Lega per Salvini Premier,Valle d'Aosta,2019,2018,734,0
Movimento Associativo Italiani all'Estero,Valle d'Aosta,2019,2018,,1
Movimento La Puglia in piu',Valle d'Aosta,2019,2018,14,0
Movimento Politico Forza Italia,Valle d'Aosta,2019,2018,36,0
Partito Autonomista Trentino Tirolese,Valle d'Aosta,2019,2018,,1
Partito della Rifondazione Comunista,Valle d'Aosta,2019,2018,129,0
Partito Democratico,Valle d'Aosta,2019,2018,894,0
Partito Socialista Italiano,Valle d'Aosta,2019,2018,14,0
Piu' Europa,Valle d'Aosta,2019,2018,112,0
Possibile,Valle d'Aosta,2019,2018,20,0
Sinistra Italiana,Valle d'Aosta,2019,2018,77,0
Sudtiroler Volkspartei,Valle d'Aosta,2019,2018,22,0
Union Valdotaine,Valle d'Aosta,2019,2018,1219,0
Unione per il Trentino,Valle d'Aosta,2019,2018,11,0
Unione Sudamericana Emigrati Italiani,Valle d'Aosta,2019,2018,23,0
Alternativa Popolare,Lombardia,2019,2018,793,0
Articolo 1 Movimento Democratico e Progressista,Lombardia,2019,2018,3901,0
Centro Democratico,Lombardia,2019,2018,2301,0
Federazione dei Verdi,Lombardia,2019,2018,13436,0
Fratelli d'Italia - Alleanza Nazionale,Lombardia,2019,2018,13405,0
IDEA - Identita' e Azione,Lombardia,2019,2018,259,0
Lega Nord per l'Indipendenza della Padania,Lombardia,2019,2018,23696,0
Lega per Salvini Premier,Lombardia,2019,2018,84721,0
Movimento Associativo Italiani all'Estero,Lombardia,2019,2018,1125,0
Movimento La Puglia in piu',Lombardia,2019,2018,1229,0
Movimento Politico Forza Italia,Lombardia,2019,2018,8512,0
Partito Autonomista Trentino Tirolese,Lombardia,2019,2018,365,0
Partito della Rifondazione Comunista,Lombardia,2019,2018,10694,0
Partito Democratico,Lombardia,2019,2018,123327,0
Partito Socialista Italiano,Lombardia,2019,2018,2263,0
Piu' Europa,Lombardia,2019,2018,12855,0
Possibile,Lombardia,2019,2018,2561,0
Sinistra Italiana,Lombardia,2019,2018,7680,0
Sudtiroler Volkspartei,Lombardia,2019,2018,948,0
Union Valdotaine,Lombardia,2019,2018,465,0
Unione per il Trentino,Lombardia,2019,2018,919,0
Unione Sudamericana Emigrati Italiani,Lombardia,2019,2018,1202,0
Alternativa Popolare,Liguria,2019,2018,80,0
Articolo 1 Movimento Democratico e Progressista,Liguria,2019,2018,628,0
Centro Democratico,Liguria,2019,2018,303,0
Federazione dei Verdi,Liguria,2019,2018,1855,0
Fratelli d'Italia - Alleanza Nazionale,Liguria,2019,2018,1775,0
IDEA - Identita' e Azione,Liguria,2019,2018,28,0
Lega Nord per l'Indipendenza della Padania,Liguria,2019,2018,1177,0
Lega per Salvini Premier,Liguria,2019,2018,7439,0
Movimento Associativo Italiani all'Estero,Liguria,2019,2018,154,0
Movimento La Puglia in piu',Liguria,2019,2018,92,0
Movimento Politico Forza Italia,Liguria,2019,2018,1407,0
Partito Autonomista Trentino Tirolese,Liguria,2019,2018,56,0
Partito della Rifondazione Comunista,Liguria,2019,2018,1742,0
Partito Democratico,Liguria,2019,2018,17750,0
Partito Socialista Italiano,Liguria,2019,2018,296,0
Piu' Europa,Liguria,2019,2018,1442,0
Possibile,Liguria,2019,2018,397,0
Sinistra Italiana,Liguria,2019,2018,1384,0
Sudtiroler Volkspartei,Liguria,2019,2018,121,0
Union Valdotaine,Liguria,2019,2018,119,0
Unione per il Trentino,Liguria,2019,2018,119,0
Unione Sudamericana Emigrati Italiani,Liguria,2019,2018,151,0
Alternativa Popolare,Trentino Alto Adige,2019,2018,34,0
Articolo 1 Movimento Democratico e Progressista,Trentino Alto Adige,2019,2018,171,0
Centro Democratico,Trentino Alto Adige,2019,2018,116,0
Federazione dei Verdi,Trentino Alto Adige,2019,2018,2148,0
Fratelli d'Italia - Alleanza Nazionale,Trentino Alto Adige,2019,2018,746,0
IDEA - Identita' e Azione,Trentino Alto Adige,2019,2018,24,0
Lega Nord per l'Indipendenza della Padania,Trentino Alto Adige,2019,2018,911,0
Lega per Salvini Premier,Trentino Alto Adige,2019,2018,4904,0
Movimento Associativo Italiani all'Estero,Trentino Alto Adige,2019,2018,83,0
Movimento La Puglia in piu',Trentino Alto Adige,2019,2018,63,0
Movimento Politico Forza Italia,Trentino Alto Adige,2019,2018,294,0
Partito Autonomista Trentino Tirolese,Trentino Alto Adige,2019,2018,1484,0
Partito della Rifondazione Comunista,Trentino Alto Adige,2019,2018,623,0
Partito Democratico,Trentino Alto Adige,2019,2018,7049,0
Partito Socialista Italiano,Trentino Alto Adige,2019,2018,118,0
Piu' Europa,Trentino Alto Adige,2019,2018,971,0
Possibile,Trentino Alto Adige,2019,2018,155,0
Sinistra Italiana,Trentino Alto Adige,2019,2018,449,0
Sudtiroler Volkspartei,Trentino Alto Adige,2019,2018,12220,0
Union Valdotaine,Trentino Alto Adige,2019,2018,30,0
Unione per il Trentino,Trentino Alto Adige,2019,2018,924,0
Unione Sudamericana Emigrati Italiani,Trentino Alto Adige,2019,2018,95,0
Alternativa Popolare,Veneto,2019,2018,266,0
Articolo 1 Movimento Democratico e Progressista,Veneto,2019,2018,1824,0
Centro Democratico,Veneto,2019,2018,1075,0
Federazione dei Verdi,Veneto,2019,2018,7233,0
Fratelli d'Italia - Alleanza Nazionale,Veneto,2019,2018,6675,0
IDEA - Identita' e Azione,Veneto,2019,2018,110,0
Lega Nord per l'Indipendenza della Padania,Veneto,2019,2018,20706,0
Lega per Salvini Premier,Veneto,2019,2018,39746,0
Movimento Associativo Italiani all'Estero,Veneto,2019,2018,579,0
Movimento La Puglia in piu',Veneto,2019,2018,350,0
Movimento Politico Forza Italia,Veneto,2019,2018,2404,0
Partito Autonomista Trentino Tirolese,Veneto,2019,2018,201,0
Partito della Rifondazione Comunista,Veneto,2019,2018,3558,0
Partito Democratico,Veneto,2019,2018,47293,0
Partito Socialista Italiano,Veneto,2019,2018,804,0
Piu' Europa,Veneto,2019,2018,5676,0
Possibile,Veneto,2019,2018,971,0
Sinistra Italiana,Veneto,2019,2018,3013,0
Sudtiroler Volkspartei,Veneto,2019,2018,560,0
Union Valdotaine,Veneto,2019,2018,124,0
Unione per il Trentino,Veneto,2019,2018,445,0
Unione Sudamericana Emigrati Italiani,Veneto,2019,2018,618,0
Alternativa Popolare,Friuli Venezia Giulia,2019,2018,68,0
Articolo 1 Movimento Democratico e Progressista,Friuli Venezia Giulia,2019,2018,518,0
Centro Democratico,Friuli Venezia Giulia,2019,2018,330,0
Federazione dei Verdi,Friuli Venezia Giulia,2019,2018,1905,0
Fratelli d'Italia - Alleanza Nazionale,Friuli Venezia Giulia,2019,2018,3363,0
IDEA - Identita' e Azione,Friuli Venezia Giulia,2019,2018,34,0
Lega Nord per l'Indipendenza della Padania,Friuli Venezia Giulia,2019,2018,2039,0
Lega per Salvini Premier,Friuli Venezia Giulia,2019,2018,10627,0
Movimento Associativo Italiani all'Estero,Friuli Venezia Giulia,2019,2018,224,0
Movimento La Puglia in piu',Friuli Venezia Giulia,2019,2018,112,0
Movimento Politico Forza Italia,Friuli Venezia Giulia,2019,2018,860,0
Partito Autonomista Trentino Tirolese,Friuli Venezia Giulia,2019,2018,78,0
Partito della Rifondazione Comunista,Friuli Venezia Giulia,2019,2018,1399,0
Partito Democratico,Friuli Venezia Giulia,2019,2018,11761,0
Partito Socialista Italiano,Friuli Venezia Giulia,2019,2018,211,0
Piu' Europa,Friuli Venezia Giulia,2019,2018,1616,0
Possibile,Friuli Venezia Giulia,2019,2018,246,0
Sinistra Italiana,Friuli Venezia Giulia,2019,2018,856,0
Sudtiroler Volkspartei,Friuli Venezia Giulia,2019,2018,397,0
Union Valdotaine,Friuli Venezia Giulia,2019,2018,69,0
Unione per il Trentino,Friuli Venezia Giulia,2019,2018,128,0
Unione Sudamericana Emigrati Italiani,Friuli Venezia Giulia,2019,2018,195,0
