party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Movimento politico Forza Italia,Liguria,2018,2017,1365,0
Partito Autonomista Trentino Tirolese,Liguria,2018,2017,50,0
Partito della Rifondazione Comunista,Liguria,2018,2017,1919,0
Partito Democratico,Liguria,2018,2017,14952,0
Partito Socialista Italiano,Liguria,2018,2017,302,0
Popolari per l'Italia,Liguria,2018,2017,60,0
Possibile,Liguria,2018,2017,581,0
Scelta Civica,Liguria,2018,2017,326,0
Sinistra Italiana,Liguria,2018,2017,890,0
Stella Alpina,Liguria,2018,2017,93,0
Sudtiroler Volkspartei,Liguria,2018,2017,139,0
Union Valdotaine,Liguria,2018,2017,98,0
Unione di Centro,Liguria,2018,2017,32,0
Unione per il Trentino,Liguria,2018,2017,103,0
Alternativa Popolare,Trentino Alto Adige,2018,2017,34,0
Articolo 1 Movimento Democratico e Progressista,Trentino Alto Adige,2018,2017,237,0
Centro Democratico,Trentino Alto Adige,2018,2017,135,0
Democrazia Solidale - Demo. S,Trentino Alto Adige,2018,2017,19,0
Energie per l'Italia,Trentino Alto Adige,2018,2017,73,0
Federazione dei Verdi,Trentino Alto Adige,2018,2017,993,0
Fratelli d'Italia,Trentino Alto Adige,2018,2017,482,0
Idea Identita' e Azione,Trentino Alto Adige,2018,2017,14,0
Italia dei Valori,Trentino Alto Adige,2018,2017,46,0
Lega Nord per l'Indipendenza della Padania,Trentino Alto Adige,2018,2017,1232,0
Lega per Salvini Premier,Trentino Alto Adige,2018,2017,3331,0
Movimento Associativo Italiani all'Estero,Trentino Alto Adige,2018,2017,64,0
Movimento La Puglia in Piu',Trentino Alto Adige,2018,2017,62,0
Movimento politico Forza Italia,Trentino Alto Adige,2018,2017,333,0
Partito Autonomista Trentino Tirolese,Trentino Alto Adige,2018,2017,1413,0
Partito della Rifondazione Comunista,Trentino Alto Adige,2018,2017,661,0
Partito Democratico,Trentino Alto Adige,2018,2017,5933,0
Partito Socialista Italiano,Trentino Alto Adige,2018,2017,122,0
Popolari per l'Italia,Trentino Alto Adige,2018,2017,61,0
Possibile,Trentino Alto Adige,2018,2017,150,0
Scelta Civica,Trentino Alto Adige,2018,2017,164,0
Sinistra Italiana,Trentino Alto Adige,2018,2017,243,0
Stella Alpina,Trentino Alto Adige,2018,2017,71,0
Sudtiroler Volkspartei,Trentino Alto Adige,2018,2017,11311,0
Union Valdotaine,Trentino Alto Adige,2018,2017,24,0
Unione di Centro,Trentino Alto Adige,2018,2017,22,0
Unione per il Trentino,Trentino Alto Adige,2018,2017,837,0
Alternativa Popolare,Veneto,2018,2017,155,0
Articolo 1 Movimento Democratico e Progressista,Veneto,2018,2017,1968,0
Centro Democratico,Veneto,2018,2017,926,0
Democrazia Solidale - Demo. S,Veneto,2018,2017,93,0
Energie per l'Italia,Veneto,2018,2017,602,0
Federazione dei Verdi,Veneto,2018,2017,2749,0
Fratelli d'Italia,Veneto,2018,2017,3827,0
Idea Identita' e Azione,Veneto,2018,2017,61,0
Italia dei Valori,Veneto,2018,2017,498,0
Lega Nord per l'Indipendenza della Padania,Veneto,2018,2017,23251,0
Lega per Salvini Premier,Veneto,2018,2017,26474,0
Movimento Associativo Italiani all'Estero,Veneto,2018,2017,465,0
Movimento La Puglia in Piu',Veneto,2018,2017,279,0
Movimento politico Forza Italia,Veneto,2018,2017,2745,0
