party_name,declaration_year,tax_year,valid_choices,amount
Centro Democratico,2016,2015,16065,160916.0
Federazione dei verdi,2016,2015,15217,167865.0
Fratelli d'Italia - Alleanza Nazionale,2016,2015,51068,569865.0
Italia dei Valori,2016,2015,6396,64910.0
Lega Nord per l'indipendenza della Padania,2016,2015,129401,1411007.0
Movimento Associativo Italiani all'estero,2016,2015,4311,43702.0
Movimento La Puglia in piu',2016,2015,3493,32715.0
Movimento politico Forza Italia,2016,2015,46695,615761.0
Nuovo Centrodestra,2016,2015,31206,259629.0
Partito autonomista Trentino Tirolese,2016,2015,2824,32833.0
Partito della Rifondazione Comunista - Sinistra Europea,2016,2015,46399,459970.0
Partito Democratico,2016,2015,491570,6401481.0
Partito Liberale Italiano,2016,2015,3572,59157.0
Partito Socialista Italiano,2016,2015,14122,141381.0
Popolari per l'Italia,2016,2015,1733,24514.0
Scelta Civica,2016,2015,8991,117337.0
Sinistra Ecologia e Liberta',2016,2015,72235,838155.0
Sudtiroler Volkspartei,2016,2015,14969,234510.0
Union Valdotaine,2016,2015,4336,51485.0
Unione di Centro,2016,2015,2862,27743.0
Unione per il Trentino,2016,2015,4518,48290.0
