official_name,declaration_year,tax_year,code
Centro Democratico,2014,2013,A10
Die Freiheitlichen,2014,2013,B11
Fratelli d’Italia – Alleanza Nazionale,2014,2013,C12
Lega Nord per l’Indipendenza della Padania,2014,2013,D13
Movimento Associativo Italiani all’Estero – MAIE,2014,2013,E14
Movimento Politico Forza Italia,2014,2013,F15
Movimento Stella Alpina,2014,2013,G16
Nuovo Centrodestra,2014,2013,H17
PATT - Partito Autonomista Trentino Tirolese,2014,2013,K18
Partito della Rifondazione Comunista – Sinistra Europea,2014,2013,L19
Partito Democratico,2014,2013,M20
Partito Liberale Italiano,2014,2013,N21
Partito Socialista Italiano,2014,2013,R22
Popolari per l’Italia,2014,2013,S23
Scelta Civica,2014,2013,T24
Sinistra Ecologia Libertà,2014,2013,U25
SVP - Südtiroler Volkspartei,2014,2013,W26
Union Valdôtaine,2014,2013,Y27
Unione per il Trentino,2014,2013,Z28
