official_name,declaration_year,tax_year,code
Articolo 1 - Movimento Democratico e Progressista,2023,2022,Z40
Azione,2023,2022,S48
Centro Democratico,2023,2022,A10
Coraggio Italia,2023,2022,A52
Democrazia Solidale – Demo. S,2023,2022,A41
Europa Verde - Verdi,2023,2022,B30
Fratelli d’Italia – Alleanza Nazionale,2023,2022,C12
Italia al Centro,2023,2022,C53
Italia dei Valori,2023,2022,C31
Italia Viva,2023,2022,C46
Lega Nord per l’Indipendenza della Padania,2023,2022,D13
Lega per Salvini Premier,2023,2022,D43
Movimento Associativo Italiani all’Estero – MAIE,2023,2022,E14
Movimento 5 Stelle,2023,2022,E54
Movimento politico Forza Italia,2023,2022,F15
Noi con l’Italia,2023,2022,E50
Partito Autonomista Trentino Tirolese,2023,2022,K18
Partito Democratico,2023,2022,M20
Partito Socialista Italiano,2023,2022,R22
+ Europa,2023,2022,R45
Possibile,2023,2022,S36
Radicali italiani,2023,2022,S47
Sinistra Italiana,2023,2022,T44
Stella Alpina,2023,2022,U37
Sud chiama Nord,2023,2022,U55
Südtiroler Volkspartei,2023,2022,W26
UDC – Unione di centro,2023,2022,Y29
Unione Sudamericana Emigrati Italiani,2023,2022,Z38
Union Valdôtaine,2023,2022,Y27
