official_name,declaration_year,tax_year,code
Centro Democratico,2016,2015,A10
Federazione dei Verdi,2016,2015,B30
Fratelli d’Italia – Alleanza Nazionale,2016,2015,C12
Italia dei Valori,2016,2015,C31
Lega Nord per l’Indipendenza della Padania,2016,2015,D13
Movimento Associativo Italiani all’Estero,2016,2015,E14
Movimento La Puglia in Più,2016,2015,E32
Movimento Politico Forza Italia,2016,2015,F15
Nuovo Centrodestra,2016,2015,H17
Partito Autonomista Trentino Tirolese,2016,2015,K18
Partito della Rifondazione Comunista – Sinistra Europea,2016,2015,L19
Partito Democratico,2016,2015,M20
Partito Liberale Italiano,2016,2015,N21
Partito Socialista Italiano,2016,2015,R22
Popolari per l’Italia,2016,2015,S23
Scelta Civica,2016,2015,T24
Sinistra Ecologia Libertà,2016,2015,U25
Südtiroler Volkspartei,2016,2015,W26
Union Valdôtaine,2016,2015,Y27
Unione di Centro,2016,2015,Y29
Unione per il Trentino,2016,2015,Z28
