party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Centro Democratico,Piemonte,2015,2014,1480,0
Die Freiheitlichen,Piemonte,2015,2014,99,0
Fratelli d'Italia Alleanza Nazionale,Piemonte,2015,2014,3295,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2015,2014,12760,0
Movimento Associativo Italiani all'Estero - MAIE,Piemonte,2015,2014,356,0
Movimento Politico Forza Italia,Piemonte,2015,2014,3335,0
Movimento Stella Alpina,Piemonte,2015,2014,606,0
Nuovo Centro Destra,Piemonte,2015,2014,778,0
PATT - Partito Autonomista Trentino Tirolese,Piemonte,2015,2014,92,0
Partito della Rifondazione Comunista - Sinistra Europea,Piemonte,2015,2014,5746,0
Partito Democratico,Piemonte,2015,2014,47391,0
Partito Liberale Italiano,Piemonte,2015,2014,229,0
Partito Socialista Italiano,Piemonte,2015,2014,592,0
Popolari per l'Italia,Piemonte,2015,2014,130,0
Scelta Civica,Piemonte,2015,2014,798,0
Sinistra Ecologia Liberta',Piemonte,2015,2014,10299,0
SVP - Sudtiroler Volkspartei,Piemonte,2015,2014,282,0
Union Valdotaine,Piemonte,2015,2014,582,0
Unione per il Trentino,Piemonte,2015,2014,367,0
Centro Democratico,Valle d'Aosta,2015,2014,30,0
Die Freiheitlichen,Valle d'Aosta,2015,2014,,1
Fratelli d'Italia Alleanza Nazionale,Valle d'Aosta,2015,2014,61,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2015,2014,340,0
Movimento Associativo Italiani all'Estero - MAIE,Valle d'Aosta,2015,2014,,1
Movimento Politico Forza Italia,Valle d'Aosta,2015,2014,,1
Movimento Stella Alpina,Valle d'Aosta,2015,2014,407,0
Nuovo Centro Destra,Valle d'Aosta,2015,2014,20,0
PATT - Partito Autonomista Trentino Tirolese,Valle d'Aosta,2015,2014,,1
Partito della Rifondazione Comunista - Sinistra Europea,Valle d'Aosta,2015,2014,116,0
Partito Democratico,Valle d'Aosta,2015,2014,1118,0
Partito Liberale Italiano,Valle d'Aosta,2015,2014,,1
Partito Socialista Italiano,Valle d'Aosta,2015,2014,48,0
Popolari per l'Italia,Valle d'Aosta,2015,2014,,1
Scelta Civica,Valle d'Aosta,2015,2014,36,0
Sinistra Ecologia Liberta',Valle d'Aosta,2015,2014,211,0
SVP - Sudtiroler Volkspartei,Valle d'Aosta,2015,2014,,1
Union Valdotaine,Valle d'Aosta,2015,2014,1476,0
Unione per il Trentino,Valle d'Aosta,2015,2014,,1
Centro Democratico,Lombardia,2015,2014,2756,0
Die Freiheitlichen,Lombardia,2015,2014,242,0
Fratelli d'Italia Alleanza Nazionale,Lombardia,2015,2014,7344,0
Lega Nord per l'Indipendenza della Padania,Lombardia,2015,2014,52941,0
