official_name,declaration_year,tax_year,code
Azione,2024,2023,S48
Campobase,2024,2023,S56
Centro Democratico,2024,2023,A10
Coraggio Italia,2024,2023,A52
Democrazia Solidale – Demo.S,2024,2023,A41
Europa Verde - Verdi,2024,2023,B30
Fratelli d’Italia – Alleanza Nazionale,2024,2023,C12
Italia dei Valori,2024,2023,C31
Italia Viva,2024,2023,C46
Lega Nord per l’Indipendenza della Padania,2024,2023,D13
Lega per Salvini Premier,2024,2023,D43
L’Italia c’è,2024,2023,D57
Movimento Associativo Italiani all’Estero – MAIE,2024,2023,E14
Movimento 5 Stelle,2024,2023,E54
Movimento politico Forza Italia,2024,2023,F15
Noi Moderati,2024,2023,E50
Partito Autonomista Trentino Tirolese,2024,2023,K18
Partito Democratico,2024,2023,M20
Partito Socialista Italiano,2024,2023,R22
+ Europa,2024,2023,R45
Possibile,2024,2023,S36
Radicali italiani,2024,2023,S47
Sinistra Italiana,2024,2023,T44
Stella Alpina,2024,2023,U37
Sud chiama Nord,2024,2023,U55
Südtiroler Volkspartei,2024,2023,W26
UDC – Unione di centro,2024,2023,Y29
Unione Sudamericana Emigrati Italiani,2024,2023,Z38
Union Valdôtaine,2024,2023,Y27
