official_name,declaration_year,tax_year,code
Alternativa Popolare,2021,2020,Z39
Articolo 1 - Movimento Democratico e Progressista,2021,2020,Z40
Azione,2021,2020,S48
Cambiamo!,2021,2020,S49
Centro Democratico,2021,2020,A10
Democrazia Solidale – Demo. S,2021,2020,A41
Federazione dei Verdi,2021,2020,B30
Fratelli d’Italia – Alleanza Nazionale,2021,2020,C12
IDEA – Identità e Azione – popolo e libertà,2021,2020,C35
Italia dei Valori,2021,2020,C31
Italia Viva,2021,2020,C46
Lega Nord per l’Indipendenza della Padania,2021,2020,D13
Lega per Salvini Premier,2021,2020,D43
Movimento Associativo Italiani all’Estero – MAIE,2021,2020,E14
Movimento politico Forza Italia,2021,2020,F15
Movimento – La Puglia in Più,2021,2020,E32
Noi con l’Italia,2021,2020,E50
Partito della Rifondazione Comunista – Sinistra Europea,2021,2020,L19
Partito Democratico,2021,2020,M20
Partito Socialista Italiano,2021,2020,R22
+ Europa,2021,2020,R45
Possibile,2021,2020,S36
Radicali italiani,2021,2020,S47
Sinistra Italiana,2021,2020,T44
Stella Alpina,2021,2020,U37
Südtiroler Volkspartei,2021,2020,W26
Union Valdôtaine,2021,2020,Y27
UDC – Unione di centro,2021,2020,Y29
Unione per il Trentino,2021,2020,Z28
Unione Sudamericana Emigrati Italiani,2021,2020,Z38
