party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Centro Democratico,Piemonte,2017,2016,1439,0
Conservatori e Riformisti,Piemonte,2017,2016,96,0
Fare!,Piemonte,2017,2016,292,0
Federazione dei Verdi,Piemonte,2017,2016,1824,0
Fratelli d'Italia - Alleanza Nazionale,Piemonte,2017,2016,4063,0
Idea Identita' e Azione,Piemonte,2017,2016,259,0
Italia dei Valori,Piemonte,2017,2016,572,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2017,2016,17033,0
Movimento Associativo Italiani all'Estero,Piemonte,2017,2016,498,0
Movimento La Puglia in Piu',Piemonte,2017,2016,474,0
Movimento politico Forza Italia,Piemonte,2017,2016,3848,0
Nuovo Centro Destra,Piemonte,2017,2016,801,0
Partito Autonomista Trentino Tirolese,Piemonte,2017,2016,183,0
Partito della Rifondazione Comunista-Sinistra Europea,Piemonte,2017,2016,6878,0
Partito Democratico,Piemonte,2017,2016,52050,0
Partito Liberale Italiano,Piemonte,2017,2016,306,0
Partito Socialista Italiano,Piemonte,2017,2016,655,0
Popolari per l'Italia,Piemonte,2017,2016,132,0
Possibile,Piemonte,2017,2016,1629,0
Scelta Civica,Piemonte,2017,2016,753,0
Sinistra Ecologia Liberta',Piemonte,2017,2016,6275,0
Stella Alpina,Piemonte,2017,2016,627,0
Sudtiroler Volkspartei,Piemonte,2017,2016,432,0
Union Valdotaine,Piemonte,2017,2016,1957,0
Unione di Centro,Piemonte,2017,2016,112,0
Unione per il Trentino,Piemonte,2017,2016,361,0
Unione Sudamericana Emigrati Italiani,Piemonte,2017,2016,1155,0
Centro Democratico,Valle d'Aosta,2017,2016,114,0
Conservatori e Riformisti,Valle d'Aosta,2017,2016,,1
Fare!,Valle d'Aosta,2017,2016,14,0
Federazione dei Verdi,Valle d'Aosta,2017,2016,107,0
Fratelli d'Italia - Alleanza Nazionale,Valle d'Aosta,2017,2016,182,0
Idea Identita' e Azione,Valle d'Aosta,2017,2016,,1
Italia dei Valori,Valle d'Aosta,2017,2016,30,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2017,2016,879,0
Movimento Associativo Italiani all'Estero,Valle d'Aosta,2017,2016,41,0
Movimento La Puglia in Piu',Valle d'Aosta,2017,2016,,1
Movimento politico Forza Italia,Valle d'Aosta,2017,2016,156,0
Nuovo Centro Destra,Valle d'Aosta,2017,2016,43,0
Partito Autonomista Trentino Tirolese,Valle d'Aosta,2017,2016,,1
Partito della Rifondazione Comunista-Sinistra Europea,Valle d'Aosta,2017,2016,361,0
Partito Democratico,Valle d'Aosta,2017,2016,3126,0
Partito Liberale Italiano,Valle d'Aosta,2017,2016,12,0
Partito Socialista Italiano,Valle d'Aosta,2017,2016,60,0
Popolari per l'Italia,Valle d'Aosta,2017,2016,,1
Possibile,Valle d'Aosta,2017,2016,98,0
Scelta Civica,Valle d'Aosta,2017,2016,64,0
Sinistra Ecologia Liberta',Valle d'Aosta,2017,2016,337,0
Stella Alpina,Valle d'Aosta,2017,2016,311,0
Sudtiroler Volkspartei,Valle d'Aosta,2017,2016,44,0
Union Valdotaine,Valle d'Aosta,2017,2016,1496,0
Unione di Centro,Valle d'Aosta,2017,2016,,1
Unione per il Trentino,Valle d'Aosta,2017,2016,,1
Unione Sudamericana Emigrati Italiani,Valle d'Aosta,2017,2016,61,0
Centro Democratico,Lombardia,2017,2016,3053,0
Conservatori e Riformisti,Lombardia,2017,2016,223,0
Fare!,Lombardia,2017,2016,755,0
Federazione dei Verdi,Lombardia,2017,2016,5382,0
Fratelli d'Italia - Alleanza Nazionale,Lombardia,2017,2016,9364,0
Idea Identita' e Azione,Lombardia,2017,2016,266,0
Italia dei Valori,Lombardia,2017,2016,1208,0
Lega Nord per l'Indipendenza della Padania,Lombardia,2017,2016,72510,0
Movimento Associativo Italiani all'Estero,Lombardia,2017,2016,1256,0
Movimento La Puglia in Piu',Lombardia,2017,2016,1036,0
