party_name,declaration_year,tax_year,valid_choices,amount
Articolo 1- Movimento Democratico e Progressista,2020,2019,35794,482695.0
Azione (gia' Siamo Europei),2020,2019,29734,725911.0
Centro Democratico,2020,2019,14445,161046.0
Democrazia Solidale - Demo.S,2020,2019,2319,28911.0
Federazione dei Verdi,2020,2019,53451,616932.0
Fratelli d'ltalia - Alleanza Nazionale,2020,2019,164133,2196866.0
IDEA - Identita' e Azione,2020,2019,2497,32298.0
Italia dei Valori,2020,2019,4225,52524.0
Italia Viva,2020,2019,45223,725859.0
Lega Nord per l'Indipendenza della Padania,2020,2019,57067,646464.0
Lega per Salvini Premier,2020,2019,206560,2358464.0
Movimento Associativo Italiani all'Estero,2020,2019,5377,54946.0
Movimento La Puglia in piu',2020,2019,7442,76490.0
Movimento politico Forza Italia,2020,2019,32685,575438.0
Partito Autonomista Trentino Tirolese,2020,2019,3369,37127.0
Partito della Rifondazione Comunista - Sinistra Europea,2020,2019,53800,571310.0
Partito Democratico,2020,2019,496844,7428817.0
Partito Socialista Italiano,2020,2019,12680,150375.0
Piu' Europa,2020,2019,41188,609298.0
Possibile,2020,2019,13599,164553.0
Radicali Italiani,2020,2019,18182,260281.0
Sinistra Italiana,2020,2019,36862,438166.0
Sudtiroler Volkspartei,2020,2019,16644,334426.0
UDC - Unione di Centro,2020,2019,2171,28472.0
Union Valdotaine,2020,2019,2933,35137.0
Unione per il Trentino,2020,2019,3845,42176.0
Unione Sudamericana Emigrati Italiani,2020,2019,8442,78280.0
