official_name,declaration_year,tax_year,code
Centro Democratico,2017,2016,A10
Conservatori e Riformisti,2017,2016,A33
Fare!,2017,2016,A34
Federazione dei Verdi,2017,2016,B30
Fratelli d’Italia – Alleanza Nazionale,2017,2016,C12
IDEA – Identità e Azione,2017,2016,C35
Italia dei Valori,2017,2016,C31
Lega Nord per l’Indipendenza della Padania,2017,2016,D13
Movimento Associativo Italiani all’Estero,2017,2016,E14
Movimento La Puglia in Più,2017,2016,E32
Movimento Politico Forza Italia,2017,2016,F15
Nuovo Centrodestra,2017,2016,H17
Partito Autonomista Trentino Tirolese,2017,2016,K18
Partito della Rifondazione Comunista – Sinistra Europea,2017,2016,L19
Partito Democratico,2017,2016,M20
Partito Liberale Italiano,2017,2016,N21
Partito Socialista Italiano,2017,2016,R22
Popolari per l’Italia,2017,2016,S23
Possibile,2017,2016,S36
Scelta Civica,2017,2016,T24
Sinistra Ecologia Libertà,2017,2016,U25
Stella Alpina,2017,2016,U37
Südtiroler Volkspartei,2017,2016,W26
Union Valdôtaine,2017,2016,Y27
Unione di Centro,2017,2016,Y29
Unione per il Trentino,2017,2016,Z28
Unione Sudamericana Emigrati Italiani,2017,2016,Z38
