party_name,declaration_year,tax_year,valid_choices,amount
Alternativa Popolare,2018,2017,2524,38292.0
Articolo 1 Movimento Democratico e Progressista,2018,2017,26996,349516.0
Centro Democratico,2018,2017,11418,129706.0
Democrazia Solidale - Demo. S,2018,2017,1106,11116.0
Energie per l'Italia,2018,2017,7943,85443.0
Federazione dei Verdi,2018,2017,23314,257919.0
Fratelli d'Italia,2018,2017,54920,720437.0
Idea Identita' e Azione,2018,2017,1019,14990.0
Italia dei Valori,2018,2017,4819,50785.0
Lega Nord per l'Indipendenza della Padania,2018,2017,81405,922040.0
Lega per Salvini Premier,2018,2017,187260,2040528.0
Movimento Associativo Italiani all'Estero,2018,2017,4533,46469.0
Movimento La Puglia in Piu',2018,2017,6161,60254.0
Movimento politico Forza Italia,2018,2017,39252,637130.0
Partito Autonomista Trentino Tirolese,2018,2017,2943,34148.0
Partito della Rifondazione Comunista,2018,2017,53903,547426.0
Partito Democratico,2018,2017,487748,7002826.0
Partito Socialista Italiano,2018,2017,12881,140134.0
Popolari per l'Italia,2018,2017,1818,23741.0
Possibile,2018,2017,13309,169709.0
Scelta Civica,2018,2017,11253,127869.0
Sinistra Italiana,2018,2017,27325,316960.0
Stella Alpina,2018,2017,2442,26979.0
Sudtiroler Volkspartei,2018,2017,14796,287329.0
Union Valdotaine,2018,2017,3060,37999.0
Unione di Centro,2018,2017,2291,30274.0
Unione per il Trentino,2018,2017,3378,38144.0
