party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Azione,Piemonte,2025,2024,5853,0
Campobase,Piemonte,2025,2024,183,0
Centro Democratico,Piemonte,2025,2024,1702,0
Coraggio Italia,Piemonte,2025,2024,263,0
Democrazia Cristiana con Rotondi,Piemonte,2025,2024,205,0
Democrazia Solidale - DemoS,Piemonte,2025,2024,320,0
Europa Verde-Verdi,Piemonte,2025,2024,12799,0
Fratelli d'Italia - Alleanza Nazionale,Piemonte,2025,2024,34208,0
Italia dei Valori,Piemonte,2025,2024,491,0
Italia Viva,Piemonte,2025,2024,4310,0
Lega Nord per l'Indipendenza della Padania,Piemonte,2025,2024,2402,0
Lega per Salvini Premier,Piemonte,2025,2024,8114,0
L'Italia c'e'!,Piemonte,2025,2024,134,0
Movimento Associativo Italiani all'Estero - MAIE,Piemonte,2025,2024,697,0
Movimento Cinque Stelle,Piemonte,2025,2024,22305,0
Movimento politico Forza Italia,Piemonte,2025,2024,3381,0
Noi Moderati,Piemonte,2025,2024,535,0
Partito Autonomista Trentino Tirolese,Piemonte,2025,2024,261,0
Partito Democratico,Piemonte,2025,2024,52460,0
Partito Socialista Italiano,Piemonte,2025,2024,1061,0
Piu' Europa,Piemonte,2025,2024,8773,0
Possibile,Piemonte,2025,2024,2974,0
Radicali Italiani,Piemonte,2025,2024,3069,0
Sinistra Italiana,Piemonte,2025,2024,13369,0
Stella Alpina,Piemonte,2025,2024,821,0
Sud chiama Nord,Piemonte,2025,2024,695,0
Sudtiroler Volkspartei,Piemonte,2025,2024,813,0
Union Valdotaine,Piemonte,2025,2024,1125,0
Unione Sudamericana Emigrati Italiani,Piemonte,2025,2024,1585,0
Volt Italia,Piemonte,2025,2024,608,0
Azione,Valle d'Aosta,2025,2024,101,0
Campobase,Valle d'Aosta,2025,2024,,1
Centro Democratico,Valle d'Aosta,2025,2024,25,0
Coraggio Italia,Valle d'Aosta,2025,2024,,1
Democrazia Cristiana con Rotondi,Valle d'Aosta,2025,2024,,1
Democrazia Solidale - DemoS,Valle d'Aosta,2025,2024,,1
Europa Verde-Verdi,Valle d'Aosta,2025,2024,349,0
Fratelli d'Italia - Alleanza Nazionale,Valle d'Aosta,2025,2024,768,0
Italia dei Valori,Valle d'Aosta,2025,2024,10,0
Italia Viva,Valle d'Aosta,2025,2024,69,0
Lega Nord per l'Indipendenza della Padania,Valle d'Aosta,2025,2024,43,0
Lega per Salvini Premier,Valle d'Aosta,2025,2024,251,0
L'Italia c'e'!,Valle d'Aosta,2025,2024,0,0
