party_name,declaration_year,tax_year,valid_choices,amount
Articolo 1 - Movimento Democratico e Progressista,2023,2022,39560,519700.0
Azione,2023,2022,39349,1039313.0
Centro Democratico,2023,2022,9118,114696.0
Coraggio Italia,2023,2022,2170,19700.0
Democrazia Solidale - DemoS,2023,2022,3242,42762.0
Europa Verde-Verdi,2023,2022,80188,869008.0
Fratelli d'Italia - Alleanza Nazionale,2023,2022,347978,4807551.0
Italia al Centro,2023,2022,1338,13090.0
Italia dei Valori,2023,2022,3553,46940.0
Italia Viva,2023,2022,57573,1135044.0
Lega Nord per l'Indipendenza della Padania,2023,2022,38300,439151.0
Lega per Salvini Premier,2023,2022,91716,1106828.0
Movimento Associativo Italiani all'Estero - MAIE,2023,2022,5178,51238.0
Movimento Cinque Stelle,2023,2022,174487,1853949.0
Movimento politico Forza Italia,2023,2022,34689,618377.0
Noi con l'Italia,2023,2022,6926,74127.0
Partito Autonomista Trentino Tirolese,2023,2022,4489,45439.0
Partito Democratico,2023,2022,531336,8118192.0
Partito Socialista Italiano,2023,2022,16873,178422.0
Piu' Europa,2023,2022,54393,717111.0
Possibile,2023,2022,23634,246874.0
Radicali Italiani,2023,2022,23650,348490.0
Sinistra Italiana,2023,2022,72123,816244.0
Stella Alpina,2023,2022,4665,44444.0
Sud chiama Nord,2023,2022,38638,204532.0
Sudtiroler Volkspartei,2023,2022,19194,375565.0
UDC - Unione di centro,2023,2022,2216,32164.0
Unione Sudamericana Emigrati Italiani,2023,2022,12911,114773.0
Union Valdotaine,2023,2022,5426,64444.0
