official_name,declaration_year,tax_year,code
Azione,2025,2024,S48
Campobase,2025,2024,S56
Centro Democratico,2025,2024,A10
Coraggio Italia,2025,2024,A52
Democrazia Cristiana con Rotondi,2025,2024,A58
Democrazia Solidale – Demo. S,2025,2024,A41
Europa Verde – Verdi,2025,2024,B30
Fratelli d’Italia – Alleanza Nazionale,2025,2024,C12
Italia dei Valori,2025,2024,C31
Italia Viva,2025,2024,C46
Lega Nord per l’Indipendenza della Padania,2025,2024,D13
Lega per Salvini Premier,2025,2024,D43
L’Italia c’è,2025,2024,D57
Movimento Associativo Italiani all’Estero – MAIE,2025,2024,E14
Movimento 5 Stelle,2025,2024,E54
Movimento politico Forza Italia,2025,2024,F15
Noi Moderati,2025,2024,E50
Partito Autonomista Trentino Tirolese,2025,2024,K18
Partito Democratico,2025,2024,M20
Partito Socialista Italiano,2025,2024,R22
+ Europa,2025,2024,R45
Possibile,2025,2024,S36
Radicali italiani,2025,2024,S47
Sinistra Italiana,2025,2024,T44
Stella Alpina,2025,2024,U37
Sud chiama Nord,2025,2024,U55
Südtiroler Volkspartei,2025,2024,W26
Unione Sudamericana Emigrati Italiani,2025,2024,Z38
Union Valdôtaine,2025,2024,Y27
Volt Italia,2025,2024,Y59
